,Date       Time,RAININCHES
,10/01/2012,0.00
,10/02/2012,0.00
,10/03/2012,0.00
,10/04/2012,0.00
,10/05/2012,0.00
,10/06/2012,0.00
,10/07/2012,0.00
,10/08/2012,0.00
,10/09/2012,0.00
,10/10/2012,0.00
,10/11/2012,0.00
,10/12/2012,0.07
,10/13/2012,0.08
,10/14/2012,0.08
,10/15/2012,0.08
,10/16/2012,0.08
,10/17/2012,0.08
,10/18/2012,0.08
,10/19/2012,0.08
,10/20/2012,0.08
,10/21/2012,0.08
,10/22/2012,0.23
,10/23/2012,0.80
,10/24/2012,0.82
,10/25/2012,0.82
,10/26/2012,0.82
,10/27/2012,0.82
,10/28/2012,0.82
,10/29/2012,0.82
,10/30/2012,0.82
,10/31/2012,0.82
,11/01/2012,0.82
,11/02/2012,0.82
,11/03/2012,0.82
,11/04/2012,0.82
,11/05/2012,0.82
,11/06/2012,0.82
,11/07/2012,0.82
,11/08/2012,0.82
,11/09/2012,1.17
,11/10/2012,1.30
,11/11/2012,1.31
,11/12/2012,1.31
,11/13/2012,1.31
,11/14/2012,1.31
,11/15/2012,1.31
,11/16/2012,1.34
,11/17/2012,2.19
,11/18/2012,3.51
,11/19/2012,3.62
,11/20/2012,3.62
,11/21/2012,3.75
,11/22/2012,3.88
,11/23/2012,3.88
,11/24/2012,3.88
,11/25/2012,3.88
,11/26/2012,3.88
,11/27/2012,3.88
,11/28/2012,3.88
,11/29/2012,4.45
,11/30/2012,5.56
,12/01/2012,7.17
,12/02/2012,7.88
,12/03/2012,9.59
,12/04/2012,9.59
,12/05/2012,9.60
,12/06/2012,10.17
,12/07/2012,10.17
,12/08/2012,10.17
,12/09/2012,10.17
,12/10/2012,10.17
,12/11/2012,10.17
,12/12/2012,10.30
,12/13/2012,10.95
,12/14/2012,10.95
,12/15/2012,11.12
,12/16/2012,11.12
,12/17/2012,11.33
,12/18/2012,12.46
,12/19/2012,12.46
,12/20/2012,12.46
,12/21/2012,12.46
,12/22/2012,13.51
,12/23/2012,14.48
,12/24/2012,16.36
,12/25/2012,16.36
,12/26/2012,17.43
,12/27/2012,17.76
,12/28/2012,17.76
,12/29/2012,17.76
,12/30/2012,17.76
,12/31/2012,17.76
,01/01/2013,17.76
,01/02/2013,17.76
,01/03/2013,17.76
,01/04/2013,17.76
,01/05/2013,17.76
,01/06/2013,17.77
,01/07/2013,17.78
,01/08/2013,17.78
,01/09/2013,17.78
,01/10/2013,18.13
,01/11/2013,18.14
,01/12/2013,18.14
,01/13/2013,18.14
,01/14/2013,18.14
,01/15/2013,18.14
,01/16/2013,18.14
,01/17/2013,18.14
,01/18/2013,18.14
,01/19/2013,18.14
,01/20/2013,18.14
,01/21/2013,18.14
,01/22/2013,18.14
,01/23/2013,18.14
,01/24/2013,18.34
,01/25/2013,18.53
,01/26/2013,18.53
,01/27/2013,18.73
,01/28/2013,18.80
,01/29/2013,18.80
,01/30/2013,18.80
,01/31/2013,18.80
,02/01/2013,18.80
,02/02/2013,18.80
,02/03/2013,18.80
,02/04/2013,18.80
,02/05/2013,18.80
,02/06/2013,18.80
,02/07/2013,18.80
,02/08/2013,19.15
,02/09/2013,19.15
,02/10/2013,19.15
,02/11/2013,19.15
,02/12/2013,19.15
,02/13/2013,19.15
,02/14/2013,19.15
,02/15/2013,19.15
,02/16/2013,19.15
,02/17/2013,19.15
,02/18/2013,19.15
,02/19/2013,19.19
,02/20/2013,19.40
,02/21/2013,19.40
,02/22/2013,19.40
,02/23/2013,19.40
,02/24/2013,19.40
,02/25/2013,19.40
,02/26/2013,19.40
,02/27/2013,19.40
,02/28/2013,19.40
,03/01/2013,19.40
,03/02/2013,19.40
,03/03/2013,19.45
,03/04/2013,19.80
,03/05/2013,19.80
,03/06/2013,20.01
,03/07/2013,20.61
,03/08/2013,20.73
,03/09/2013,21.00
,03/10/2013,21.00
,03/11/2013,21.00
,03/12/2013,21.00
,03/13/2013,21.00
,03/14/2013,21.00
,03/15/2013,21.00
,03/16/2013,21.00
,03/17/2013,21.00
,03/18/2013,21.00
,03/19/2013,21.00
,03/20/2013,21.34
,03/21/2013,21.41
,03/22/2013,21.41
,03/23/2013,21.41
,03/24/2013,21.41
,03/25/2013,21.41
,03/26/2013,21.41
,03/27/2013,21.41
,03/28/2013,21.72
,03/29/2013,22.46
,03/30/2013,22.46
,03/31/2013,23.31
,04/01/2013,24.17
,04/02/2013,24.19
,04/03/2013,24.19
,04/04/2013,24.20
,04/05/2013,24.28
,04/06/2013,24.28
,04/07/2013,24.28
,04/08/2013,24.74
,04/09/2013,24.74
,04/10/2013,24.74
,04/11/2013,24.74
,04/12/2013,24.74
,04/13/2013,24.74
,04/14/2013,24.74
,04/15/2013,24.74
,04/16/2013,24.90
,04/17/2013,24.90
,04/18/2013,24.90
,04/19/2013,24.90
,04/20/2013,24.90
,04/21/2013,24.90
,04/22/2013,24.90
,04/23/2013,24.90
,04/24/2013,24.90
,04/25/2013,24.90
,04/26/2013,24.90
,04/27/2013,24.90
,04/28/2013,24.90
,04/29/2013,24.90
,04/30/2013,24.90
,05/01/2013,24.90
,05/02/2013,24.90
,05/03/2013,24.90
,05/04/2013,24.90
,05/05/2013,24.90
,05/06/2013,24.96
,05/07/2013,25.16
,05/08/2013,25.21
,05/09/2013,25.23
,05/10/2013,25.42
,05/11/2013,25.46
,05/12/2013,25.46
,05/13/2013,25.46
,05/14/2013,25.46
,05/15/2013,25.62
,05/16/2013,25.62
,05/17/2013,25.67
,05/18/2013,25.67
,05/19/2013,25.67
,05/20/2013,25.67
,05/21/2013,25.67
,05/22/2013,25.67
,05/23/2013,25.67
,05/24/2013,25.67
,05/25/2013,25.67
,05/26/2013,25.67
,05/27/2013,25.67
,05/28/2013,25.79
,05/29/2013,25.82
,05/30/2013,25.82
,05/31/2013,25.82
,06/01/2013,25.82
,06/02/2013,25.82
,06/03/2013,25.82
,06/04/2013,25.82
,06/05/2013,25.82
,06/06/2013,25.82
,06/07/2013,25.82
,06/08/2013,25.82
,06/09/2013,25.82
,06/10/2013,25.82
,06/11/2013,25.82
,06/12/2013,25.82
,06/13/2013,25.82
,06/14/2013,25.82
,06/15/2013,25.82
,06/16/2013,25.82
,06/17/2013,25.82
,06/18/2013,25.82
,06/19/2013,25.82
,06/20/2013,25.82
,06/21/2013,25.82
,06/22/2013,25.82
,06/23/2013,25.82
,06/24/2013,25.82
,06/25/2013,26.21
,06/26/2013,26.21
,06/27/2013,26.21
,06/28/2013,26.21
,06/29/2013,26.21
,06/30/2013,26.21
,07/01/2013,26.21
,07/02/2013,26.21
,07/03/2013,26.21
,07/04/2013,26.21
,07/05/2013,26.21
,07/06/2013,26.21
,07/07/2013,26.21
,07/08/2013,26.21
,07/09/2013,26.21
,07/10/2013,26.21
,07/11/2013,26.21
,07/12/2013,26.21
,07/13/2013,26.21
,07/14/2013,26.21
,07/15/2013,26.21
,07/16/2013,26.21
,07/17/2013,26.21
,07/18/2013,26.21
,07/19/2013,26.21
,07/20/2013,26.21
,07/21/2013,26.21
,07/22/2013,26.21
,07/23/2013,26.21
,07/24/2013,26.21
,07/25/2013,26.21
,07/26/2013,26.21
,07/27/2013,26.21
,07/28/2013,26.21
,07/29/2013,26.21
,07/30/2013,26.21
,07/31/2013,26.21
,08/01/2013,26.21
,08/02/2013,26.21
,08/03/2013,26.21
,08/04/2013,26.21
,08/05/2013,26.21
,08/06/2013,26.21
,08/07/2013,26.21
,08/08/2013,26.21
,08/09/2013,26.21
,08/10/2013,26.21
,08/11/2013,26.21
,08/12/2013,26.21
,08/13/2013,26.21
,08/14/2013,26.21
,08/15/2013,26.21
,08/16/2013,26.21
,08/17/2013,26.21
,08/18/2013,26.21
,08/19/2013,26.21
,08/20/2013,26.21
,08/21/2013,26.21
,08/22/2013,26.21
,08/23/2013,26.21
,08/24/2013,26.21
,08/25/2013,26.21
,08/26/2013,26.21
,08/27/2013,26.21
,08/28/2013,26.21
,08/29/2013,26.21
,08/30/2013,26.21
,08/31/2013,26.21
,09/01/2013,26.21
,09/02/2013,26.21
,09/03/2013,26.21
,09/04/2013,26.21
,09/05/2013,26.21
,09/06/2013,26.21
,09/07/2013,26.21
,09/08/2013,26.21
,09/09/2013,26.21
,09/10/2013,26.21
,09/11/2013,26.21
,09/12/2013,26.21
,09/13/2013,26.21
,09/14/2013,26.21
,09/15/2013,26.21
,09/16/2013,26.21
,09/17/2013,26.21
,09/18/2013,26.21
,09/19/2013,26.21
,09/20/2013,26.21
,09/21/2013,26.21
,09/22/2013,26.98
,09/23/2013,26.98
,09/24/2013,26.98
,09/25/2013,26.98
,09/26/2013,26.98
,09/27/2013,26.98
,09/28/2013,26.98
,09/29/2013,26.98
,09/30/2013,26.98
,10/01/2013,0.00
,10/02/2013,0.00
,10/03/2013,0.00
,10/04/2013,0.00
,10/05/2013,0.00
,10/06/2013,0.00
,10/07/2013,0.00
,10/08/2013,0.00
,10/09/2013,0.00
,10/10/2013,0.03
,10/11/2013,0.03
,10/12/2013,0.03
,10/13/2013,0.13
,10/14/2013,0.13
,10/15/2013,0.13
,10/16/2013,0.13
,10/17/2013,0.13
,10/18/2013,0.13
,10/19/2013,0.13
,10/20/2013,0.13
,10/21/2013,0.13
,10/22/2013,0.13
,10/23/2013,0.13
,10/24/2013,0.13
,10/25/2013,0.13
,10/26/2013,0.13
,10/27/2013,0.13
,10/28/2013,0.75
,10/29/2013,1.12
,10/30/2013,1.12
,10/31/2013,1.12
,11/01/2013,1.12
,11/02/2013,1.12
,11/03/2013,1.12
,11/04/2013,1.12
,11/05/2013,1.12
,11/06/2013,1.12
,11/07/2013,1.12
,11/08/2013,1.12
,11/09/2013,1.12
,11/10/2013,1.12
,11/11/2013,1.12
,11/12/2013,1.12
,11/13/2013,1.12
,11/14/2013,1.12
,11/15/2013,1.12
,11/16/2013,1.12
,11/17/2013,1.12
,11/18/2013,1.12
,11/19/2013,1.12
,11/20/2013,1.53
,11/21/2013,2.23
,11/22/2013,2.23
,11/23/2013,2.23
,11/24/2013,2.23
,11/25/2013,2.23
,11/26/2013,2.23
,11/27/2013,2.23
,11/28/2013,2.23
,11/29/2013,2.23
,11/30/2013,2.23
,12/01/2013,2.23
,12/02/2013,2.23
,12/03/2013,2.61
,12/04/2013,2.81
,12/05/2013,2.81
,12/06/2013,2.81
,12/07/2013,3.28
,12/08/2013,3.29
,12/09/2013,3.29
,12/10/2013,3.29
,12/11/2013,3.29
,12/12/2013,3.29
,12/13/2013,3.29
,12/14/2013,3.29
,12/15/2013,3.29
,12/16/2013,3.29
,12/17/2013,3.29
,12/18/2013,3.29
,12/19/2013,3.31
,12/20/2013,3.31
,12/21/2013,3.31
,12/22/2013,3.31
,12/23/2013,3.31
,12/24/2013,3.31
,12/25/2013,3.31
,12/26/2013,3.31
,12/27/2013,3.31
,12/28/2013,3.31
,12/29/2013,3.31
,12/30/2013,3.31
,12/31/2013,3.31
,01/01/2014,3.31
,01/02/2014,3.31
,01/03/2014,3.31
,01/04/2014,3.31
,01/05/2014,3.31
,01/06/2014,3.31
,01/07/2014,3.31
,01/08/2014,3.31
,01/09/2014,3.31
,01/10/2014,3.31
,01/11/2014,3.31
,01/12/2014,3.31
,01/13/2014,3.31
,01/14/2014,3.31
,01/15/2014,3.31
,01/16/2014,3.31
,01/17/2014,3.31
,01/18/2014,3.31
,01/19/2014,3.31
,01/20/2014,3.31
,01/21/2014,3.31
,01/22/2014,3.31
,01/23/2014,3.31
,01/24/2014,3.31
,01/25/2014,3.31
,01/26/2014,3.31
,01/27/2014,3.31
,01/28/2014,3.31
,01/29/2014,3.31
,01/30/2014,4.78
,01/31/2014,5.19
,02/01/2014,5.19
,02/02/2014,5.19
,02/03/2014,5.19
,02/04/2014,5.19
,02/05/2014,5.19
,02/06/2014,5.44
,02/07/2014,5.45
,02/08/2014,6.27
,02/09/2014,8.26
,02/10/2014,9.01
,02/11/2014,9.01
,02/12/2014,9.01
,02/13/2014,9.01
,02/14/2014,9.01
,02/15/2014,9.01
,02/16/2014,9.24
,02/17/2014,9.24
,02/18/2014,9.24
,02/19/2014,9.24
,02/20/2014,9.24
,02/21/2014,9.24
,02/22/2014,9.24
,02/23/2014,9.24
,02/24/2014,9.24
,02/25/2014,9.24
,02/26/2014,9.24
,02/27/2014,11.01
,02/28/2014,11.27
,03/01/2014,12.17
,03/02/2014,12.17
,03/03/2014,12.20
,03/04/2014,12.94
,03/05/2014,12.94
,03/06/2014,13.67
,03/07/2014,13.67
,03/08/2014,13.67
,03/09/2014,13.67
,03/10/2014,13.67
,03/11/2014,13.67
,03/12/2014,13.67
,03/13/2014,13.67
,03/14/2014,13.67
,03/15/2014,13.67
,03/16/2014,13.67
,03/17/2014,13.67
,03/18/2014,13.67
,03/19/2014,13.67
,03/20/2014,13.67
,03/21/2014,13.67
,03/22/2014,13.67
,03/23/2014,13.67
,03/24/2014,13.67
,03/25/2014,13.67
,03/26/2014,14.51
,03/27/2014,14.81
,03/28/2014,14.83
,03/29/2014,14.83
,03/30/2014,15.91
,03/31/2014,16.01
,04/01/2014,16.71
,04/02/2014,17.06
,04/03/2014,17.09
,04/04/2014,17.09
,04/05/2014,17.09
,04/06/2014,17.09
,04/07/2014,17.09
,04/08/2014,17.09
,04/09/2014,17.09
,04/10/2014,17.09
,04/11/2014,17.09
,04/12/2014,17.09
,04/13/2014,17.09
,04/14/2014,17.09
,04/15/2014,17.09
,04/16/2014,17.09
,04/17/2014,17.09
,04/18/2014,17.09
,04/19/2014,17.09
,04/20/2014,17.09
,04/21/2014,17.09
,04/22/2014,17.32
,04/23/2014,17.32
,04/24/2014,17.32
,04/25/2014,17.53
,04/26/2014,18.73
,04/27/2014,18.73
,04/28/2014,18.73
,04/29/2014,18.73
,04/30/2014,18.73
,05/01/2014,18.73
,05/02/2014,18.73
,05/03/2014,18.73
,05/04/2014,18.73
,05/05/2014,18.73
,05/06/2014,18.80
,05/07/2014,19.07
,05/08/2014,19.07
,05/09/2014,19.07
,05/10/2014,19.07
,05/11/2014,19.07
,05/12/2014,19.07
,05/13/2014,19.07
,05/14/2014,19.07
,05/15/2014,19.07
,05/16/2014,19.07
,05/17/2014,19.07
,05/18/2014,19.07
,05/19/2014,19.07
,05/20/2014,19.44
,05/21/2014,19.55
,05/22/2014,19.55
,05/23/2014,19.55
,05/24/2014,19.55
,05/25/2014,19.55
,05/26/2014,19.55
,05/27/2014,19.55
,05/28/2014,19.55
,05/29/2014,19.55
,05/30/2014,19.55
,05/31/2014,19.55
,06/01/2014,19.55
,06/02/2014,19.55
,06/03/2014,19.55
,06/04/2014,19.55
,06/05/2014,19.55
,06/06/2014,19.55
,06/07/2014,19.55
,06/08/2014,19.55
,06/09/2014,19.55
,06/10/2014,19.55
,06/11/2014,19.55
,06/12/2014,19.55
,06/13/2014,19.55
,06/14/2014,19.55
,06/15/2014,19.55
,06/16/2014,19.55
,06/17/2014,19.55
,06/18/2014,19.55
,06/19/2014,19.55
,06/20/2014,19.55
,06/21/2014,19.55
,06/22/2014,19.55
,06/23/2014,19.55
,06/24/2014,19.55
,06/25/2014,19.55
,06/26/2014,19.55
,06/27/2014,19.55
,06/28/2014,19.55
,06/29/2014,19.55
,06/30/2014,19.55
,07/01/2014,19.55
,07/02/2014,19.55
,07/03/2014,19.55
,07/04/2014,19.55
,07/05/2014,19.55
,07/06/2014,19.55
,07/07/2014,19.55
,07/08/2014,19.55
,07/09/2014,19.55
,07/10/2014,19.55
,07/11/2014,19.55
,07/12/2014,19.55
,07/13/2014,19.55
,07/14/2014,19.55
,07/15/2014,19.55
,07/16/2014,19.76
,07/17/2014,19.76
,07/18/2014,19.76
,07/19/2014,19.76
,07/20/2014,19.76
,07/21/2014,21.09
,07/22/2014,21.09
,07/23/2014,21.09
,07/24/2014,21.09
,07/25/2014,21.09
,07/26/2014,21.09
,07/27/2014,21.09
,07/28/2014,21.09
,07/29/2014,21.09
,07/30/2014,21.09
,07/31/2014,21.09
,08/01/2014,21.09
,08/02/2014,21.09
,08/03/2014,21.09
,08/04/2014,21.10
,08/05/2014,21.10
,08/06/2014,21.10
,08/07/2014,21.10
,08/08/2014,21.10
,08/09/2014,21.10
,08/10/2014,21.10
,08/11/2014,21.10
,08/12/2014,21.10
,08/13/2014,21.10
,08/14/2014,21.10
,08/15/2014,21.10
,08/16/2014,21.10
,08/17/2014,21.10
,08/18/2014,21.10
,08/19/2014,21.10
,08/20/2014,21.10
,08/21/2014,21.10
,08/22/2014,21.10
,08/23/2014,21.10
,08/24/2014,21.10
,08/25/2014,21.10
,08/26/2014,21.10
,08/27/2014,21.10
,08/28/2014,21.10
,08/29/2014,21.10
,08/30/2014,21.10
,08/31/2014,21.10
,09/01/2014,21.10
,09/02/2014,21.10
,09/03/2014,21.10
,09/04/2014,21.10
,09/05/2014,21.10
,09/06/2014,21.10
,09/07/2014,21.10
,09/08/2014,21.13
,09/09/2014,21.13
,09/10/2014,21.13
,09/11/2014,21.13
,09/12/2014,21.13
,09/13/2014,21.13
,09/14/2014,21.13
,09/15/2014,21.13
,09/16/2014,21.13
,09/17/2014,21.13
,09/18/2014,21.13
,09/19/2014,21.13
,09/20/2014,21.13
,09/21/2014,21.13
,09/22/2014,21.13
,09/23/2014,21.13
,09/24/2014,21.13
,09/25/2014,21.13
,09/26/2014,21.15
,09/27/2014,21.19
,09/28/2014,21.55
,09/29/2014,21.55
,09/30/2014,21.55
,10/01/2014,0.00
,10/02/2014,0.00
,10/03/2014,0.00
,10/04/2014,0.00
,10/05/2014,0.00
,10/06/2014,0.00
,10/07/2014,0.00
,10/08/2014,0.00
,10/09/2014,0.00
,10/10/2014,0.00
,10/11/2014,0.00
,10/12/2014,0.00
,10/13/2014,0.00
,10/14/2014,0.00
,10/15/2014,0.00
,10/16/2014,0.00
,10/17/2014,0.00
,10/18/2014,0.00
,10/19/2014,0.00
,10/20/2014,0.00
,10/21/2014,0.00
,10/22/2014,0.00
,10/23/2014,0.00
,10/24/2014,0.00
,10/25/2014,0.00
,10/26/2014,0.22
,10/27/2014,0.22
,10/28/2014,0.22
,10/29/2014,0.22
,10/30/2014,0.22
,10/31/2014,0.22
,11/01/2014,1.69
Sensor Number,,Station ID
,,
